"MSFD","HabExt","SweptArea","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"total",139.28,100,"1.3","3.8"," 7.2","  11.8","17.7","25.3","34.8","47.0","63.7"
"Circalittoral sand",51.22,87.33,"0.2","1.4"," 4.0","   8.0","13.6","21.0","30.3","42.0","59.5"
"Offshore circalittoral sand",42.53,61.11,"2.1","6.1","10.5","  15.7","21.9","29.7","39.3","51.3","65.9"
"Offshore circalittoral mud",24.24,56.17,"2.5","5.7"," 9.6","  14.9","21.3","28.9","38.6","51.2","69.3"
"Circalittoral coarse sediment",6.92,8.66,"0.3","1.7"," 4.2","   7.9","14.4","21.4","31.7","45.5","61.5"
"Offshore circalittoral coarse sediment",3.52,15.65,"0.7","2.2"," 4.8","   8.1","12.2","17.4","24.4","34.7","49.5"
"Infralittoral sand",3.37,8.26,"0.4","2.5"," 6.8","  12.5","20.7","32.7","43.9","57.8","73.8"
"Circalittoral mud",2.88,4.95,"2.1","5.1"," 9.8","  13.7","19.3","25.8","34.5","44.3","66.0"
"Circalittoral mixed sediment",2.48,2.66,"0.2","1.2"," 3.4","   7.1","13.2","19.0","26.6","42.2","64.2"
"Unknown",0.85,3.28,"2.7","5.1"," 9.1","  12.4","16.7","28.1","44.6","63.8","83.5"
"Infralittoral mud",0.6,0.21,"0.0","0.0"," 0.2","   2.9","10.0","13.1","22.7","38.8","70.3"
"Offshore circalittoral mixed sediment",0.42,0.64,"1.6","4.2"," 9.7","  12.8","19.0","32.0","48.3","56.2","65.7"
"Infralittoral coarse sediment",0.11,0.28,"1.0","5.9"," 7.6","  12.3","24.4","41.2","55.0","66.9","75.6"
"Infralittoral mixed sediment",0.06,0.02,"0.0","0.3"," 0.5","   1.7"," 1.7"," 6.8"," 6.8","24.5","67.5"
"Offshore circalittoral rock and biogenic reef",0.04,0.01,"0.0","0.0"," 0.0","<0.1"," 0.3"," 1.4"," 3.5"," 4.2","23.6"
"Circalittoral rock and biogenic reef",0.04,0.01,"0.0","0.0"," 0.0","<0.1"," 0.4"," 0.5"," 1.2"," 1.6","58.0"
