"MSFD","HabExt","TotVal","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"Total",213.98,526474.4,"   1.1","   3.1","   5.9"," 9.5","14.6"," 21.5"," 31.6"," 45.8"," 65.1"
"Circalittoral sand",58.13,132392.4,"   0.3","   2.1","   5.4"," 9.1","14.0"," 20.4"," 28.1"," 38.5"," 57.6"
"Offshore circalittoral sand",50.93,100710.1,"   2.3","   6.0","   9.8","13.6","18.9"," 25.6"," 35.2"," 48.8"," 66.4"
"Offshore circalittoral mud",42.52,91552.2,"   2.6","   5.6","   8.9","13.2","19.7"," 27.4"," 37.7"," 51.5"," 70.1"
"Offshore circalittoral coarse sediment",19.7,99549.9,"   0.4","   1.1","   2.8"," 5.8","11.3"," 18.2"," 29.2"," 49.4"," 67.1"
"Circalittoral coarse sediment",11.56,34234.7,"   0.1","   1.3","   2.9"," 6.7","10.2"," 16.5"," 22.5"," 32.2"," 57.3"
"Infralittoral sand",8.96,26424.6,"   0.0","   0.0","   0.0"," 0.0"," 0.8","  5.2"," 25.7"," 43.8"," 68.6"
"Circalittoral mud",6.41,13831.8,"   0.0","   0.8","   4.6","10.3","17.2"," 26.0"," 36.1"," 52.6"," 72.2"
"Circalittoral mixed sediment",4.5,4276.8,"   0.0","<0.1","   0.4"," 1.7"," 4.8"," 11.0"," 23.2"," 36.7"," 60.7"
"Offshore circalittoral mixed sediment",2.95,5951.3,"   0.8","   3.9","   8.0","14.0","22.9"," 32.4"," 45.0"," 60.0"," 77.6"
"Upper bathyal sediment",2.48,1156.5,"   8.0","  17.4","  27.6","37.9","46.5"," 59.5"," 66.0"," 77.6"," 87.6"
"Infralittoral mud",1.37,2222.3,"   0.0","   0.0","   0.0"," 0.0"," 1.1"," 11.5"," 27.1"," 45.0"," 72.3"
"Infralittoral coarse sediment",1.23,7557,"   0.0","   0.0","<0.1"," 2.9","13.0"," 21.6"," 36.0"," 55.3"," 82.6"
"Infralittoral mixed sediment",1.11,185.9,"   0.0","   0.0","   0.0"," 0.0"," 0.0","  0.0","  0.4","  3.4"," 13.3"
"Unknown",0.85,3612.5,"   3.6","   5.9","  23.9","26.8","30.3"," 48.3"," 66.5"," 75.8"," 91.1"
"Offshore circalittoral rock and biogenic reef",0.56,1516.9,"<0.1","   0.5","   0.8"," 1.8"," 4.0","  8.6"," 14.2"," 40.5"," 61.1"
"Circalittoral rock and biogenic reef",0.42,580.6,"   0.0","<0.1","<0.1"," 0.6"," 2.4","  4.1","  8.5"," 23.7"," 36.2"
"Infralittoral rock and biogenic reef",0.3,718.6,"   0.0","<0.1","   0.1"," 1.2"," 2.1","  3.1","  8.5"," 23.2"," 40.6"
"Upper bathyal rock and biogenic reef",0,0.2,"   9.9","  33.8","  33.8","33.8","33.8","100.0","100.0","100.0","100.0"
