"MSFD","area_km2","PctHabExt","avgweight","avgvalue","sweptarea","avgsar","propswept","eff_fish","propUnfished"
"Upper bathyal sediment",15.27,37.3,19.82,NA,34.99,2.29,57.4,39.2,10.4
"Offshore circalittoral sand",7.58,18.5,7.58,NA,20.18,2.66,81.8,64.2,3.3
"Offshore circalittoral mud",4.39,10.7,6.15,NA,15.31,3.49,93.6,78.1,1.1
"Offshore circalittoral rock and biogenic reef",2.89,7.1,1.63,NA,3.41,1.18,57.7,54.5,14.9
"Circalittoral rock and biogenic reef",2.28,5.6,0.29,NA,0.47,0.21,12.1,15.3,64.8
"Circalittoral sand",1.55,3.8,0.34,NA,0.5,0.33,15.7,15.4,64.8
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",1.46,3.6,0.15,NA,0.25,0.17,13.5,19.9,42.8
"Offshore circalittoral coarse sediment",1.24,3,0.91,NA,1.75,1.4,70,64.4,7.3
"Upper bathyal rock and biogenic reef",0.86,2.1,0.88,NA,1.43,1.66,50.3,42,28.9
"Offshore circalittoral mixed sediment",0.66,1.6,0.74,NA,2.12,3.21,92.1,75.9,4.3
"Infralittoral rock and biogenic reef",0.53,1.3,0.01,NA,0.02,0.03,2.8,6.1,84.9
"Lower bathyal sediment",0.5,1.2,0.03,NA,0.05,0.1,7.4,26.7,28.2
"Circalittoral coarse sediment",0.49,1.2,0.1,NA,0.15,0.31,16.6,22.3,50.8
"Circalittoral mud",0.31,0.8,0.02,NA,0.04,0.15,8.6,11.4,68.6
"Infralittoral sand",0.27,0.7,0,NA,0,0.02,1.6,7.5,88.1
"Lower bathyal sediment or Lower bathyal rock and biogenic reef",0.24,0.6,0.01,NA,0.01,0.04,4.1,43.4,48
"Circalittoral mixed sediment",0.12,0.3,0.01,NA,0.01,0.09,4.7,9.3,69
"Infralittoral mud",0.08,0.2,0,NA,0,0,0.2,3.8,94.2
"Infralittoral mixed sediment",0.07,0.2,0,NA,0,0,0.2,4.7,88.8
"Unknown",0.06,0.1,0.12,NA,0.08,1.49,83.9,49.2,13.1
"Lower bathyal rock and biogenic reef",0.04,0.1,0,NA,0,0.04,3.7,64.9,30.5
"Infralittoral coarse sediment",0.03,0.1,0,NA,0.01,0.19,7.8,5.3,78.4
"Abyssal",0.01,0,0,NA,0,0.01,1.4,NA,0
