"MSFD","HabExt","Totwght","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"Total",16.97,10878.2,"0.1","0.5"," 1.4"," 2.7"," 4.7","10.5","24.6","58.2","82.5"
"Infralittoral sand",7.2,5545.2,"0.0","0.0"," 0.0"," 0.0"," 0.6"," 7.3","28.3","78.3","93.4"
"Infralittoral mixed sediment",2.8,1836.7,"0.0","0.0"," 0.0"," 0.0"," 0.0"," 1.0"," 5.5","19.6","72.3"
"Circalittoral sand",2.16,1049,"0.0","0.0"," 5.7","13.2","16.7","21.5","27.9","41.2","61.5"
"Circalittoral mud",1.91,1293.7,"0.9","4.2"," 5.7"," 9.1","15.4","25.6","39.1","54.7","72.4"
"Infralittoral coarse sediment",0.98,125,"0.0","0.0"," 0.0"," 2.4","37.6","51.7","54.9","59.2","71.0"
"Infralittoral mud",0.91,709.9,"0.0","0.0"," 0.0"," 0.0"," 0.0"," 1.0"," 4.8","36.4","83.4"
"Circalittoral mixed sediment",0.44,100.3,"0.0","0.0"," 0.0"," 9.7","17.8","19.2","23.2","33.8","53.2"
"Offshore circalittoral mud",0.2,119.3,"1.5","3.8","11.2","17.1","28.9","42.8","51.6","70.5","82.0"
"Offshore circalittoral sand",0.18,44.7,"0.0","0.0"," 0.0","13.9","14.8","19.3","24.4","40.0","58.7"
"Circalittoral coarse sediment",0.11,42.7,"0.0","0.6"," 1.1"," 2.4"," 7.4","12.3","22.0","37.6","65.2"
"Offshore circalittoral mixed sediment",0.05,10.5,"0.0","0.0"," 0.0"," 0.0"," 0.0"," 0.0","22.8","28.2","42.7"
"Infralittoral rock and biogenic reef",0.03,1.1,"0.0","0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"
"Offshore circalittoral coarse sediment",0,0.1,"0.0","0.0"," 0.0"," 0.0"," 0.0","10.9","46.6","46.6","46.6"
"Circalittoral rock and biogenic reef",0,0,"NaN","NaN"," NaN"," NaN"," NaN"," NaN"," NaN"," NaN"," NaN"
