"MSFD","HabExt","Totwght","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"Total",171.68,72428.5,"   0.5","   2.0"," 4.8","   9.6","16.3","  24.0"," 33.5","  47.1"," 66.5"
"Offshore circalittoral sand",34.97,15532.9,"   0.7","   4.7","10.4","  19.5","29.1","  39.8"," 51.1","  64.5"," 80.7"
"Offshore circalittoral mud",31.48,14864.2,"   0.0","   0.1"," 3.3","   9.8","19.8","  30.5"," 42.0","  55.1"," 76.6"
"Upper bathyal sediment",26.4,21546.3,"   0.0","<0.1"," 0.1","   0.6"," 2.1","   4.8"," 10.9","  24.8"," 46.6"
"Circalittoral sand",16.24,3737.6,"   0.0","   0.0"," 0.5","   3.9","13.4","  23.0"," 33.4","  45.6"," 64.0"
"Offshore circalittoral coarse sediment",11.92,3662.3,"   6.5","  14.5","21.0","  29.2","38.3","  48.6"," 60.9","  72.6"," 84.2"
"Circalittoral coarse sediment",8.54,4241.9,"   0.4","   3.1"," 7.2","  13.4","20.7","  28.2"," 36.5","  48.9"," 63.6"
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",8.4,162.1,"   0.0","   0.0"," 0.5","   2.6"," 4.9","   9.3"," 21.8","  32.6"," 69.2"
"Offshore circalittoral rock and biogenic reef",7,2252.9,"   0.0","   0.1"," 1.4","   7.0","14.9","  26.1"," 42.3","  62.3"," 83.0"
"Circalittoral rock and biogenic reef",6.88,637.9,"   0.0","   0.0"," 0.0","<0.1"," 1.2","   5.1"," 11.8","  30.8"," 62.2"
"Circalittoral mud",6.26,2087.5,"   0.0","   0.0"," 0.0","   0.4"," 2.5","   5.9"," 11.9","  25.4"," 49.4"
"Offshore circalittoral mixed sediment",3.36,2335.5,"   0.0","   0.8"," 8.4","  17.0","28.9","  39.9"," 52.4","  66.2"," 82.8"
"Circalittoral mixed sediment",2.97,204.3,"   0.0","   0.0"," 0.0","   0.0"," 0.0","   0.0","  0.0","<0.1","  7.3"
"Infralittoral sand",1.91,105.4,"   0.0","   0.0"," 0.0","   0.0"," 0.0","<0.1","  1.8","  14.5"," 33.0"
"Infralittoral rock and biogenic reef",1.65,19.8,"   0.0","   0.0"," 0.0","   0.0"," 0.0","   0.2","  5.2","  11.6"," 38.8"
"Upper bathyal rock and biogenic reef",1.23,869.6,"   0.0","   0.0"," 0.0","<0.1"," 1.3","   6.0"," 15.0","  35.2"," 64.0"
"Infralittoral mud",0.56,16.6,"   0.0","   0.0"," 0.0","   0.0"," 0.0","   0.3","  6.8","  23.4"," 38.6"
"Lower bathyal sediment",0.5,26.4,"   0.0","   0.0"," 0.0","<0.1"," 0.8","   1.5","  5.8","  10.7"," 36.2"
"Infralittoral coarse sediment",0.45,24.7,"   0.0","   0.0"," 0.0","<0.1"," 1.1","   7.1"," 13.2","  29.6"," 39.8"
"Lower bathyal sediment or Lower bathyal rock and biogenic reef",0.34,3.4,"   0.0","   0.0"," 0.6","  13.4","13.4","  24.6"," 31.0","  52.4"," 72.1"
"Unknown",0.31,73.2,"<0.1","   0.9"," 2.3","   2.9"," 4.0","   7.1"," 50.4"," 100.0","100.0"
"Infralittoral mixed sediment",0.3,24.2,"   0.0","   0.0"," 0.0","   0.0"," 0.4","   2.7","  7.1","  17.3"," 36.4"
"Abyssal",0.01,0,"   0.0","   0.0"," 0.0","   0.0","16.2","  16.2","100.0"," 100.0","100.0"
