"MSFD","HabExt","TotVal","pct_10","pct_20","pct_30","pct_40","pct_50","pct_60","pct_70","pct_80","pct_90"
"Total",82.91,101044.8,"   1.7","  5.0","  9.4","  15.5"," 22.3"," 30.2"," 39.1"," 50.7"," 67.6"
"Offshore circalittoral sand",24.56,12445.6,"   2.7","  7.6"," 13.6","  21.1"," 29.9"," 38.8"," 49.1"," 59.6"," 74.4"
"Offshore circalittoral mud",17.1,31070.1,"   1.6","  4.3","  7.8","  12.4"," 17.2"," 23.0"," 29.8"," 39.8"," 59.3"
"Offshore circalittoral coarse sediment",10.55,7995.3,"   4.3","  8.8"," 14.6","  21.2"," 29.3"," 37.4"," 47.0"," 57.8"," 72.4"
"Circalittoral sand",9.95,12998.2,"   0.4","  2.9","  8.1","  14.6"," 22.5"," 32.2"," 42.1"," 54.4"," 72.2"
"Circalittoral coarse sediment",7.95,19976.2,"   0.4","  3.0","  7.0","  13.7"," 21.0"," 28.8"," 37.2"," 49.0"," 63.5"
"Circalittoral rock and biogenic reef",2.83,1823.7,"   0.2","  0.9","  2.0","   4.5","  7.0"," 12.0"," 21.9"," 39.4"," 59.8"
"Circalittoral mud",2.46,2146.1,"<0.1","  0.4","  1.7","   4.4","  8.9"," 15.8"," 26.5"," 41.7"," 61.4"
"Offshore circalittoral rock and biogenic reef",2.16,2425.1,"   6.4"," 13.5"," 21.4","  29.5"," 39.5"," 52.6"," 59.5"," 73.9"," 86.3"
"Offshore circalittoral mixed sediment",2,9216.3,"   3.0","  6.8"," 12.5","  19.9"," 27.7"," 38.2"," 51.4"," 66.8"," 83.0"
"Upper bathyal sediment",1.01,279,"   2.7","  7.9"," 12.2","  17.3"," 24.6"," 36.1"," 46.0"," 55.9"," 77.4"
"Infralittoral rock and biogenic reef",0.77,71.6,"   0.0","  0.0","  0.0","<0.1","  1.0","  6.1","  8.1"," 18.4"," 31.0"
"Infralittoral sand",0.59,187.9,"   0.0","  0.0","  0.0","<0.1","  0.3","  1.8","  3.4","  8.6"," 23.5"
"Infralittoral coarse sediment",0.32,21,"   0.0","  0.0","  0.0","   0.0","  1.1","  9.1"," 21.1"," 27.0"," 47.7"
"Infralittoral mud",0.31,36.8,"   0.0","  0.0","  0.0","   0.0","  0.0","  0.2","  4.4","  7.1","  8.9"
"Circalittoral mixed sediment",0.21,326.7,"   1.4","  6.1"," 11.9","  21.1"," 31.1"," 39.8"," 49.1"," 64.3"," 91.5"
"Unknown",0.1,23.2,"<0.1","  1.0","  2.5","  15.1"," 20.1"," 25.6"," 29.7"," 39.6"," 75.4"
"Infralittoral mixed sediment",0.04,1.9,"   0.0","  0.0","  0.0","   0.0","  0.0","  0.0","  0.0","  0.2"," 22.6"
"Upper bathyal rock and biogenic reef",0,0.1," 100.0","100.0","100.0"," 100.0","100.0","100.0","100.0","100.0","100.0"
